PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Morton,6.0,5,2,2,2,11,0,3.99
Matzek,1.0,1,0,0,0,0,0,3.34
"Lee, D(L, 3-1)",0.1,2,2,1,1,0,0,2.72
Stephens,1.2,2,1,1,1,3,0,3.30
,9.0,10,5,4,4,14,0,
