BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.DH,4,0,1,0,0,1,0,.271,.774
SwansonSS,4,1,1,0,0,0,1,.292,.800
Riley3B,4,0,0,0,0,1,2,.286,.915
Olson1B,3,2,2,2,1,0,0,.251,.828
d'ArnaudC,3,1,1,1,1,0,1,.262,.771
Grissom2B,4,0,2,1,0,1,1,.395,1.121
"Harris II, MCF",4,0,0,0,0,3,2,.283,.814
OzunaLF,2,0,0,0,0,2,0,.213,.653
"a-Rosario, EPH",1,0,0,0,0,0,1,.187,.552
HerediaRF,0,0,0,0,0,0,0,.136,.541
GrossmanRF-LF,3,0,0,0,0,1,0,.209,.618
,32,4,7,4,2,9,8,,
