BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VarshoDH,5,1,1,0,0,2,2,.250,.776
PerdomoSS,5,1,1,0,0,0,2,.202,.583
"Rojas, J3B",5,3,3,4,0,1,1,.289,.878
"Walker, C1B",3,2,1,1,2,0,0,.209,.779
PeraltaLF,4,2,2,2,1,0,1,.222,.764
McCarthyRF,5,0,2,2,0,0,0,.167,.486
"Thomas, ACF",4,1,2,1,0,1,2,.333,.992
"Hernandez, Y2B",3,0,0,0,0,0,2,.100,.282
GreinerC,3,0,0,0,1,3,1,.000,.250
,37,10,12,10,4,7,11,,
