PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Keuchel(L, 2-4)",4.0,6,6,6,3,0,1,6.60
"López, R",1.0,1,0,0,0,2,0,3.78
"Ruiz, J",1.0,1,1,1,2,1,0,3.60
Foster,1.0,0,0,0,1,0,0,2.55
Graveman,1.0,0,0,0,0,0,0,2.66
,8.0,8,7,7,6,3,1,
