PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Clevinger(W, 6-7)",5.2,3,0,0,2,3,0,4.23
"Martinez, N(H, 6)",1.1,0,0,0,0,0,0,3.22
"Hill, T",1.0,0,0,0,0,0,0,2.89
"García, L",1.0,2,0,0,0,2,0,3.50
,9.0,5,0,0,2,5,0,
