 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2021,335,78.9,76.0,335,76.0,--,--,--,--,--,--,--,--,--,--,--,--
2022,222,86.9,81.8,148,75.7,--,--,--,--,--,--,38,--,--,--,36,--
