,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2016,BAL,AL,5,15,14,3,5,1,0,3,5,0,4,0,0,1,.357,.400,1.071,1.471
,2017,BAL,AL,147,586,543,65,159,26,4,24,78,33,139,1,0,6,.293,.338,.488,.826
,2018,BAL,AL,156,636,582,69,141,23,3,24,58,44,153,0,1,5,.242,.299,.416,.715
,2019,BAL,AL,154,679,602,106,175,38,2,35,97,63,143,1,0,9,.291,.364,.535,.899
,2021,BAL,AL,147,616,556,77,142,33,1,21,71,51,143,0,0,8,.255,.326,.432,.758
,2022,BAL,AL,92,401,354,39,95,16,1,10,41,35,86,0,0,9,.268,.347,.404,.751
,2022,HOU,AL,51,186,165,17,29,7,0,8,22,18,49,0,0,1,.176,.258,.364,.622
,2022,2 Teams,,143,587,519,56,124,23,1,18,63,53,135,0,0,10,.239,.319,.391,.710
,6 Seasons,2 Teams,,752,3119,2816,376,746,144,11,125,372,244,717,2,1,39,.265,.330,.457,.787
