BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McCutchenLF,5,0,0,0,0,1,1,.221,.594
"Urías, LSS",3,0,0,0,0,1,1,.253,.766
"Taylor, TRF",3,2,1,1,1,1,1,.252,.773
TellezDH,4,0,1,1,0,2,0,.241,.805
Hiura1B,3,0,0,0,1,2,1,.242,.831
Brosseau3B,2,0,0,0,2,1,3,.290,.841
CainCF,4,0,0,0,0,0,5,.191,.506
Mathias2B,2,0,0,0,0,2,0,.167,.334
"a-Wong, KoPH-2B",0,0,0,0,0,0,0,.224,.672
Peterson2B,1,0,0,0,0,0,0,.216,.706
CaratiniC,4,1,1,1,0,1,1,.207,.678
,31,3,3,3,4,11,13,,
