BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Morel2B-3B,4,0,1,0,0,2,0,.286,.855
ContrerasC,2,1,2,1,2,0,0,.264,.873
HappCF,4,0,0,0,0,3,4,.248,.756
SchwindelDH,4,0,0,0,0,0,3,.225,.647
Wisdom3B-1B,4,0,1,0,0,2,0,.228,.778
"Velazquez, NRF",4,0,1,0,0,2,0,.286,.572
FrazierLF,3,0,1,0,0,1,0,.154,.498
Rivas1B,2,0,0,0,0,2,0,.205,.641
a-HoernerPH-SS,1,0,0,0,0,1,3,.296,.745
SimmonsSS-2B,3,0,0,0,0,2,3,.189,.400
,31,1,6,1,2,15,13,,
