BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,1,1,3,0,1,2,.217,.849
a-MercadoPH-CF,1,0,0,0,0,1,1,.200,.599
Hoskins1B,3,2,1,1,1,0,1,.251,.820
b-MoniakPH-RF,1,0,0,0,0,0,0,.125,.325
"Castellanos, NRF",4,1,2,3,0,1,0,.248,.689
"Herrera, OLF",0,1,0,0,1,0,0,.230,.673
"Hall, DDH",5,2,2,3,0,1,1,.222,1.111
RealmutoC,4,1,2,0,0,0,0,.239,.677
StubbsC,1,0,0,0,0,0,0,.304,.994
GregoriusSS,4,1,1,0,0,1,1,.263,.697
"Munoz, Y2B",1,0,0,0,0,0,0,.190,.768
Bohm3B,4,1,1,1,0,0,0,.263,.653
Stott2B-SS,3,2,2,1,1,0,0,.183,.539
VierlingCF-RF-1B,2,2,1,2,2,0,1,.242,.690
,37,14,13,14,5,5,7,,
