Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2015,CLE,AL,3B,80,76,682.0,192,41,145,6,17,,.969
2017,CLE,AL,1B,2,0,2.0,2,2,0,0,1,,1.000
2017,CLE,AL,2B,5,3,23.2,11,2,8,1,2,,.909
2017,CLE,AL,3B,60,36,378.1,98,28,66,4,7,,.959
2017,CLE,AL,SS,5,1,20.0,10,2,8,0,2,,1.000
2018,TOR,AL,3B,10,5,54.2,15,3,12,0,0,,1.000
2018,TOR,AL,SS,8,8,65.0,17,5,11,1,0,,.941
2018,TOR,AL,DH,1,0,0.0,0,0,0,0,0,,.000
2019,NYY,AL,1B,1,0,5.0,8,8,0,0,1,,1.000
2019,NYY,AL,3B,123,109,978.1,284,59,212,13,20,,.954
2019,NYY,AL,LF,1,0,1.0,2,2,0,0,0,,1.000
2019,NYY,AL,DH,3,3,0.0,0,0,0,0,0,,.000
2020,NYY,AL,3B,43,42,357.2,121,34,86,1,10,,.992
2021,NYY,AL,3B,96,85,754.2,241,56,175,10,26,,.959
2021,NYY,AL,SS,28,24,200.0,67,23,42,2,6,,.970
2022,MIN,AL,3B,136,131,1144.2,343,100,237,6,25,,.983
2022,MIN,AL,SS,2,0,3.0,1,0,1,0,0,,1.000
2022,MIN,AL,DH,4,4,0.0,0,0,0,0,0,,.000
7 Seasons,2 Teams,,1B,3,0,7.0,10,10,0,0,2,,1.000
,CLE,AL,2B,5,3,23.2,11,2,8,1,2,,.909
,4 Teams,,3B,548,484,4350.1,1294,321,933,40,105,,.969
,4 Teams,,SS,43,33,288.0,95,30,62,3,8,,.968
,3 Teams,,DH,8,7,0.0,0,0,0,0,0,,.000
,NYY,AL,LF,1,0,1.0,2,2,0,0,0,,1.000
