 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2015,,276,17.7,27.9%,4.3%,127,24.4,4.7%,20.5%
2017,,185,16.3,37.8%,2.2%,65,20.6,0.0%,13.8%
2018,,51,17.7,19.6%,2.0%,28,21.6,3.6%,3.6%
2019,,418,17.3,27.3%,2.6%,264,24.6,0.8%,15.5%
2020,,180,18.4,13.3%,3.3%,108,23.2,0.0%,13.0%
2021,,444,17.6,22.1%,2.0%,265,23.7,0.8%,13.2%
2022,,530,17.4,26.6%,1.5%,302,23.5,0.7%,10.9%
