Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,,,,,,,,,64,,,,,,49,,
2017,,,,,,,,,79,,,,,,40,,
2018,,,,,,,,,56,,,,,,49,,
2019,71,88,79,67,52,43,41,75,90,67,70,13,69,4,37,16,
2020,87,98,81,51,92,41,42,86,79,59,90,66,79,49,13,64,55
2021,23,48,42,42,6,40,46,42,74,56,26,3,44,5,24,14,45
2022,58,82,63,47,57,57,44,48,66,34,74,41,69,12,17,11,32
