,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,551,501,61,143,13,64,1,.285,.338,.429,.767
7 Seasons,2142,1980,246,544,62,256,4,.275,.321,.428,.749
