BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,0,1,0,0,1,1,.302,.967
"Freeman, F1B",4,0,0,0,0,1,2,.288,.819
TurnerSS,3,0,1,0,1,0,0,.299,.821
"Smith, W.D.C",4,0,1,0,0,0,2,.228,.725
"Turner, J3B",4,0,1,0,0,1,2,.223,.662
BellingerCF,3,0,0,0,1,2,1,.208,.672
AlvarezDH,2,0,0,0,0,1,0,.286,.572
a-AlbertoPH-DH,1,0,0,0,0,1,2,.237,.589
"Taylor, ChLF",3,0,0,0,0,2,0,.257,.788
Lux2B,2,0,1,0,1,0,0,.271,.698
,30,0,5,0,3,9,10,,
