PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"White, M",5.0,2,0,0,0,5,0,3.86
"Bickford(L, 0-1)",0.2,2,2,2,0,0,0,4.41
Price,0.1,3,2,2,1,0,0,4.50
Almonte,1.0,0,0,0,1,1,0,1.38
Bruihl,1.0,0,0,0,0,0,0,2.35
,8.0,7,4,4,2,6,0,
