PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L(W, 8-3)",5.2,9,3,3,2,7,2,2.44
"Murfee(H, 2)",0.1,0,0,0,0,1,0,1.63
"Borucki(H, 5)",1.0,1,0,0,0,0,0,6.92
"Castillo. D(H, 2)",1.0,0,0,0,0,0,0,4.85
"Swanson, E(S, 1)",1.0,0,0,0,2,0,0,0.93
,9.0,10,3,3,4,8,2,
