PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Thompson, Z.R.",4.0,5,2,2,1,3,1,4.50
"Peters(W, 1-0)",2.0,0,0,0,1,2,0,0.00
"Crowe(S, 1)",3.0,1,0,0,1,4,0,0.00
,9.0,6,2,2,3,9,1,
