PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Sandoval(L, 3-7)",5.2,4,2,2,2,6,0,3.61
Wantz,1.1,1,0,0,0,1,0,3.21
Loup,1.2,2,2,1,0,2,0,4.71
"Peguero, E",0.1,3,3,0,0,1,0,6.75
,9.0,10,7,3,2,10,0,
