BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KempLF,4,0,0,0,0,0,1,.234,.642
Machín3B,3,0,0,0,0,2,0,.231,.618
Bride3B,1,0,0,0,0,0,1,.213,.564
"Murphy, SC",3,1,1,0,0,1,0,.253,.773
"Brown, SCF",3,1,1,1,1,2,1,.233,.764
"Garcia, Der1B",4,1,1,0,0,2,2,.233,.770
CapelRF,4,1,2,3,0,1,0,.343,1.042
LangeliersDH,4,0,1,0,0,1,1,.211,.619
"Diaz, J2B",4,0,2,0,0,1,1,.400,.879
ClementSS,4,0,0,0,0,0,3,.195,.473
,34,4,8,4,1,10,10,,
