BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,3,2,0,1,1,2,.268,.783
GuillormeSS,1,0,0,1,0,0,1,.278,.701
CanhaLF,5,2,2,0,0,0,1,.267,.777
LindorSS,5,3,3,3,0,0,0,.275,.802
GoreCF,1,0,0,0,0,0,2,.000,.000
AlonsoDH,5,3,4,5,0,0,2,.270,.870
a-VientosPH-DH,1,0,0,0,0,0,2,.160,.596
McNeil2B,4,0,1,0,1,0,2,.317,.813
Escobar3B,5,0,3,2,0,1,1,.238,.719
Ruf1B,4,0,0,0,1,1,4,.204,.645
NaquinRF,5,1,2,1,0,0,2,.243,.747
NidoC,5,1,2,0,0,1,4,.242,.596
,45,13,19,12,3,4,23,,
