BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Segura2B,3,0,1,0,1,0,3,.267,.771
Hoskins1B,4,0,0,0,0,2,5,.196,.722
HarperDH,4,0,0,0,0,3,1,.226,.719
"Castellanos, NRF",4,0,1,0,0,3,1,.317,.923
RealmutoC,4,0,1,0,0,1,1,.293,.736
SchwarberLF,4,0,1,0,0,2,2,.169,.653
Bohm3B,3,0,0,0,1,2,1,.355,.916
CamargoSS,3,0,0,0,0,2,2,.318,.780
VierlingCF,2,0,1,0,0,1,0,.188,.489
"a-Herrera, OPH-CF",1,0,0,0,0,0,0,.333,1.000
,32,0,5,0,2,16,16,,
