BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McCutchenLF,4,0,1,0,0,1,1,.255,.633
YelichDH,3,0,0,1,0,2,0,.192,.629
AdamesSS,3,0,0,0,1,0,1,.190,.575
Tellez1B,3,0,0,0,0,1,0,.213,.728
RenfroeRF,3,0,0,0,0,1,0,.245,.727
NarváezC,3,0,0,0,0,2,0,.212,.630
Hiura2B,2,0,0,0,0,2,0,.217,.681
"a-Wong, KoPH-2B",1,0,0,0,0,0,0,.170,.460
Peterson3B,3,1,1,0,0,1,0,.147,.422
"Taylor, TCF",3,0,1,0,0,0,1,.214,.624
,28,1,3,1,1,10,3,,
