BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanCF-LF,4,0,2,0,1,0,0,.252,.712
"Rosario, ASS",5,0,2,1,0,1,4,.241,.591
"Ramírez, Jo3B",4,0,0,1,0,0,4,.292,1.025
"Naylor, J1B",3,0,0,0,1,0,3,.279,.839
"Miller, ODH",3,1,0,0,1,0,1,.273,.777
"Gonzalez, ORF",4,0,0,0,0,1,4,.360,.840
MercadoRF,0,0,0,0,0,0,0,.198,.613
Gimenez2B,4,1,2,1,0,1,0,.302,.830
PalaciosLF,3,1,2,1,0,0,1,.326,.745
1-StrawPR-CF,0,0,0,0,1,0,0,.231,.633
MaileC,3,1,0,0,1,0,3,.300,.838
,33,4,8,4,5,3,20,,
