PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Pilkington(W, 1-0)",5.0,5,0,0,2,8,0,2.65
"Morgan(H, 2)",2.0,2,0,0,0,4,0,2.35
Shaw,1.0,0,0,0,0,2,0,4.50
Clase,1.0,0,0,0,0,1,0,2.33
,9.0,7,0,0,2,15,0,
