BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MerrifieldCF,4,0,0,0,0,1,1,.212,.560
BenintendiLF,4,0,3,0,0,1,0,.337,.833
Witt Jr.SS,4,0,0,0,0,3,4,.227,.700
"Perez, SDH",3,0,0,0,1,1,1,.187,.582
MelendezC,4,0,1,0,0,1,0,.259,.794
DozierRF,3,0,0,0,1,3,2,.274,.787
Santana1B,4,0,2,0,0,2,0,.161,.543
Rivera3B,4,0,1,0,0,2,5,.232,.747
"Lopez, N2B",4,0,0,0,0,1,4,.225,.566
,34,0,7,0,2,15,17,,
