BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Witt Jr.3B,5,1,1,0,0,0,4,.229,.593
BenintendiLF,4,0,0,0,0,1,2,.330,.779
"Perez, SDH",4,0,2,0,0,0,1,.204,.649
O'Hearn1B,3,0,1,1,0,2,1,.105,.322
a-RiveraPH-1B,0,0,0,0,1,0,0,.182,.490
DozierRF,4,0,0,0,0,1,5,.244,.720
Merrifield2B,4,0,0,0,0,1,0,.135,.340
MelendezC,3,0,1,0,1,1,0,.333,.846
"Taylor, MCF",3,0,0,0,1,1,1,.211,.609
"Lopez, NSS",3,0,1,0,0,0,3,.221,.593
,33,1,6,1,3,7,17,,
