 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2016,,137,437,-1,-10,3,1,-6
2017,,633,"2,219",11,-2,1,14,24
2018,,608,"2,023",-8,4,13,9,18
2019,,674,"2,322",7,-2,12,10,27
2020,,283,964,-13,-20,6,5,-21
2021,,665,"2,496",-13,-6,28,18,27
2022,,634,"2,267",-9,-29,13,8,-16
