PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Sandoval,6.0,4,1,1,2,5,1,2.70
"Loup(H, 9)",0.1,1,1,1,0,1,0,4.70
"Bradley(BS, 2)",0.2,1,0,0,0,1,0,5.28
Tepera,1.0,2,0,0,0,0,0,4.23
"Iglesias, R(W, 2-4)",1.0,0,0,0,0,2,0,4.24
"Quijada(S, 1)",1.0,0,0,0,0,1,0,1.17
,10.0,8,2,2,2,10,1,
