PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L(W, 10-3)",5.1,6,2,1,3,1,0,2.61
"Muñoz, A(H, 8)",1.2,0,0,0,1,3,0,3.41
"Swanson, E(H, 5)",1.0,1,0,0,0,2,0,0.79
Sewald,1.0,1,0,0,0,2,0,2.64
,9.0,8,2,1,4,8,0,
