PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Anderson(W, 14-3)",7.0,8,3,3,0,3,2,2.73
"Martin(H, 7)",1.0,0,0,0,0,2,0,3.74
"Kimbrel(S, 22)",1.0,0,0,0,0,0,0,3.88
,9.0,8,3,3,0,5,2,
