Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,L,388,76,19.6,.404,.348
2019,R,154,11,7.1,.318,.427
2020,L,160,70,43.8,.237,.324
2020,R,48,1,2.1,.276,.699
2021,L,450,195,43.3,.367,.408
2021,R,187,23,12.3,.380,.422
2022,L,438,328,74.9,.373,.346
2022,R,169,18,10.7,.335,.399
