Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2019,PIT,NL,546,247,178,0,3,.387,57,9,82,2168,3.971,.222,.029,.380,.189,5,1
2020,PIT,NL,208,66,76,0,0,.231,15,2,22,863,4.149,.274,.034,.368,.168,2,0
2021,PIT,NL,646,292,234,0,4,.345,67,10,107,2493,3.859,.184,.037,.630,.220,5,1
2022,PIT,NL,614,250,197,0,2,.306,50,13,88,2303,3.751,.230,.044,.397,.199,7,3
4 Seasons,PIT,NL,2014,855,685,0,9,.334,189,34,299,7827,3.886,.217,.037,.452,.200,19,5
