 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,537,"2,135",9,-14,18,14,28
2020,,208,863,-1,-16,6,5,-6
2021,,637,"2,493",18,-12,21,16,42
2022,,608,"2,303",-5,-7,11,15,15
