,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2019,PIT,NL,134,546,491,83,154,37,4,16,68,46,121,3,2,6,.314,.377,.503,.880
,2020,PIT,NL,55,208,185,24,35,6,2,7,19,21,57,1,1,1,.189,.275,.357,.632
*,2021,PIT,NL,159,646,559,93,169,35,8,24,90,75,119,5,2,8,.302,.390,.522,.912
,2022,PIT,NL,145,614,542,74,142,19,4,27,62,56,141,7,3,14,.262,.345,.461,.806
,4 Seasons,PIT,NL,493,2014,1777,274,500,97,18,74,239,198,438,16,8,29,.281,.361,.481,.842
