 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2019,31,67,46.3,1,-0.7,0.8,0.6,0.6,33.4
2020,12,18,66.7,1,-1.4,-0.5,0.9,-1,32
2021,53,92,57.6,8,-0.9,0,0.6,-0.3,33.2
2022,24,61,39.3,-6,-1.5,-0.3,0.7,-1.1,33.4
