BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KimSS,4,0,0,1,0,1,1,.167,.518
"Soto, JRF",3,1,1,0,0,1,0,.231,.584
"Machado, M3B",4,0,0,0,0,1,2,.275,.916
DruryDH,4,0,2,0,0,1,1,.217,.565
Cronenworth2B,4,0,2,1,0,0,2,.250,.593
Myers1B,2,0,0,0,0,0,3,.107,.352
a-BellPH-1B,2,0,1,0,0,0,2,.241,.715
ProfarLF,4,0,1,0,0,1,4,.250,.705
GrishamCF,4,1,0,0,0,1,2,.250,.899
"Nola, AuC",4,0,0,0,0,2,3,.281,.677
,35,2,7,2,0,8,20,,
