PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
Abbott,5.0,2,0,0,2,3,0,1.00
"Arano(W, 1-0)(BS, 1)",1.0,1,1,1,0,2,1,4.60
"Ramirez(H, 2)",0.1,2,0,0,0,0,0,3.63
"Finnegan(H, 13)",1.2,0,0,0,0,0,0,3.38
Edwards Jr.,1.0,1,0,0,0,0,0,3.08
,9.0,6,1,1,2,5,1,
