BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,2,1,0,1,0,3,.248,.760
Cronenworth2B,4,1,3,1,0,0,2,.230,.690
"Machado, M3B",4,1,1,1,0,0,2,.322,.921
VoitDH,4,0,0,0,0,1,3,.222,.679
Hosmer1B,4,0,1,2,0,2,0,.286,.743
"Nola, AuC",4,0,2,0,0,0,0,.228,.580
KimSS,4,0,1,0,0,0,3,.216,.639
GrishamCF,4,0,1,0,0,1,1,.179,.599
AzocarRF,4,0,0,0,0,1,3,.247,.618
,36,4,10,4,1,5,17,,
