Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Lehigh Valley IronPigs,Triple-A,First Inning,,,9.00,6,,,6.0,30,7,6,6,0,6,8,2.17
Lehigh Valley IronPigs,Triple-A,Second Inning,,,0.00,6,,,6.0,20,1,0,0,0,3,10,0.67
Lehigh Valley IronPigs,Triple-A,Third Inning,,,1.50,6,,,6.0,26,4,1,1,1,4,8,1.33
Lehigh Valley IronPigs,Triple-A,Fourth Inning,,,1.50,6,,,6.0,22,2,1,1,0,2,8,0.67
Lehigh Valley IronPigs,Triple-A,Fifth Inning,,,6.43,8,,,7.0,31,6,5,5,1,3,8,1.29
Lehigh Valley IronPigs,Triple-A,Sixth Inning,,,0.00,7,,,7.0,24,1,0,0,0,2,12,0.43
Lehigh Valley IronPigs,Triple-A,Seventh Inning,,,0.00,2,,,2.0,6,0,0,0,0,0,2,0.00
Lehigh Valley IronPigs,Triple-A,Eighth Inning,,,9.00,2,,,1.0,7,2,1,1,0,2,2,4.00
