PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Sanchez, Aa(L, 0-1)",4.1,6,4,4,1,1,0,8.31
Clay,0.2,2,1,1,0,0,0,3.38
Cishek,1.0,2,0,0,1,2,0,4.50
"Perez, F",1.0,0,0,0,0,0,0,3.38
Rainey,1.0,0,0,0,0,0,0,0.00
Finnegan,1.0,0,0,0,0,2,0,4.05
,9.0,10,5,5,2,5,0,
