PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
Odorizzi,4.0,9,5,5,1,3,1,4.04
"Martinez, S",3.0,1,0,0,1,3,0,0.83
"Maton, P",1.0,1,1,1,0,1,1,3.82
"Stanek(W, 1-0)",1.0,0,0,0,1,0,0,0.67
,9.0,11,6,6,3,7,2,
