BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Merrifield2B,5,1,2,0,0,1,0,.237,.614
BenintendiLF,4,1,3,2,1,0,0,.314,.780
Witt Jr.SS,4,1,1,0,1,1,4,.233,.719
PasquantinoDH,3,0,1,0,1,0,3,.176,.770
Dozier1B,4,0,1,2,0,0,2,.259,.750
MelendezC,4,2,2,2,0,1,2,.223,.727
OlivaresRF,4,0,0,0,0,3,2,.286,.820
IsbelRF,0,0,0,0,0,0,0,.222,.581
"Taylor, MCF",4,1,1,0,0,1,0,.274,.749
"Lopez, N3B",4,0,0,0,0,0,2,.228,.566
,36,6,11,6,3,7,15,,
