BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,0,0,0,0,1,2,.263,.769
"Marte, SRF",4,2,2,1,0,1,1,.299,.814
LindorSS,4,2,2,0,0,0,0,.250,.754
Alonso1B,3,1,3,1,1,0,0,.280,.896
CanhaLF,3,0,0,0,0,2,4,.267,.746
a-VogelbachPH,1,0,0,0,0,1,2,.228,.766
JankowskiLF,0,0,0,0,0,0,0,.167,.453
Escobar3B,4,1,1,2,0,1,4,.219,.668
McNeil2B,4,0,1,1,0,0,0,.292,.760
"Davis, JDH",3,0,0,0,0,2,0,.236,.667
b-GuillormePH-DH,1,0,0,0,0,0,2,.288,.733
NidoC,2,0,1,0,1,1,0,.216,.505
,33,6,10,5,2,9,15,,
