BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",4,0,1,0,0,2,0,.239,.663
"Castro, WRF-2B",4,0,0,0,0,0,1,.241,.632
"Báez, JSS",4,0,0,0,0,2,1,.223,.641
"Castro, HDH",3,0,1,0,0,0,1,.288,.726
Candelario3B,3,0,0,0,0,0,1,.208,.624
Schoop2B-1B,3,0,0,0,0,1,1,.205,.553
Clemens1B,2,0,1,0,0,1,0,.141,.499
"a-Reyes, VPH-LF",1,0,0,0,0,0,0,.268,.658
BarnhartC,2,0,0,0,0,1,1,.201,.494
b-CameronPH-RF,1,0,0,0,0,1,0,.219,.630
BaddooLF,2,0,0,0,0,0,0,.146,.407
c-HaasePH-C,1,0,0,0,0,1,0,.239,.697
,30,0,3,0,0,9,6,,
