BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,5,0,1,0,0,0,3,.266,.777
"Marte, SRF",4,2,2,0,1,1,0,.296,.801
LindorSS,5,2,2,0,0,2,2,.247,.748
Alonso1B,3,2,2,4,1,0,0,.274,.883
McNeil2B,4,0,0,0,0,1,3,.293,.764
VogelbachDH,3,1,1,0,1,2,3,.229,.769
CanhaLF,3,0,2,1,0,0,1,.270,.754
1-JankowskiPR-LF,0,0,0,0,0,0,0,.167,.453
Guillorme3B,4,1,1,1,0,0,5,.290,.736
NidoC,4,0,1,1,0,0,2,.213,.495
,35,8,12,7,3,6,19,,
