BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,1,0,0,1,0,1,.238,.725
Cronenworth2B,3,1,1,0,2,0,0,.239,.729
"Machado, M3B",5,1,3,1,0,1,2,.303,.893
MazaraRF,4,1,2,0,0,1,2,.293,.736
a-AlfaroPH,1,0,1,1,0,0,0,.274,.739
VoitDH,2,1,0,0,3,0,3,.223,.723
Hosmer1B,5,0,2,2,0,0,5,.277,.731
"Nola, AuC",5,0,2,1,0,2,2,.248,.632
KimSS,4,0,1,0,0,0,3,.240,.683
"Ruiz, ECF",4,0,1,0,0,0,3,.261,.652
,37,5,13,5,6,4,21,,
