BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BlackmonDH,5,1,1,0,0,1,4,.225,.661
GrichukRF,4,2,1,1,0,1,2,.300,.720
BryantLF,4,1,1,0,0,0,2,.349,.830
Cron1B,5,1,2,2,0,1,3,.333,1.178
McMahon3B,5,0,2,3,0,2,1,.225,.751
Rodgers2B,4,0,0,0,0,2,2,.095,.289
HilliardCF,3,0,0,0,1,2,0,.278,.683
TrejoSS,4,0,2,0,0,0,2,.417,1.084
NuñezC,2,1,2,0,1,0,0,.333,1.000
"a-Díaz, EPH-C",1,0,0,0,0,0,0,.297,.775
,37,6,11,6,2,9,16,,
