PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Lynn(W, 6-5)",6.0,3,2,0,1,5,0,4.07
Lambert,1.0,0,0,0,0,0,0,2.54
Diekman,1.0,0,0,0,0,2,0,4.29
"Ruiz, J",1.0,0,0,0,0,2,0,4.19
,9.0,3,2,0,1,9,0,
