PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
"Mengden(L, 0-1)",2.2,5,3,3,1,2,1,5.14
Snider,0.1,0,0,0,0,0,0,6.31
"Keller, B",2.1,2,2,2,2,2,0,5.26
Cuas,0.2,1,0,0,0,2,0,3.73
Misiewicz,2.0,3,2,2,0,6,1,6.06
,8.0,11,7,7,3,12,2,
