BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MelendezLF,5,0,1,1,0,2,2,.221,.714
Witt Jr.3B,5,0,1,0,0,2,3,.251,.735
"Perez, SC",5,0,0,0,0,1,5,.237,.729
Pratto1B,4,0,0,0,0,2,0,.203,.725
"Taylor, MCF",4,0,0,0,0,2,1,.263,.700
Massey2B,3,0,3,0,1,0,0,.281,.754
RookerDH,2,0,0,0,0,1,2,.100,.339
a-O'HearnPH-DH,1,0,0,0,0,0,2,.210,.556
b-DozierPH-DH,1,0,0,0,0,0,1,.242,.693
WatersRF,3,1,2,0,0,1,0,.269,.713
"Lopez, NSS",3,0,1,0,1,0,4,.240,.581
,36,1,8,1,2,11,20,,
