PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Cueto(W, 7-6)",5.1,6,1,1,0,5,0,2.93
"López, R(H, 7)",0.2,0,0,0,1,0,0,2.98
Graveman,1.0,0,0,0,0,2,0,2.60
Diekman,0.2,1,0,0,0,2,0,4.31
Lambert,0.1,0,0,0,0,0,0,2.83
Foster,1.0,1,0,0,1,2,0,4.40
,9.0,8,1,1,2,11,0,
