Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2017,R,15,0,0.0,.489,
2018,R,53,3,5.7,.255,.416
2019,R,594,83,14.0,.349,.322
2020,R,243,48,19.8,.324,.398
2021,R,444,58,13.1,.291,.387
2022,R,665,243,36.5,.345,.347
