 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,102,76.5,75.5,102,75.5,--,--,--,--,--,--,--,--,--,--,--,--
2021,369,73.9,73.3,369,73.3,--,--,--,--,--,--,--,--,--,--,--,--
2022,581,77.8,75.6,581,75.6,--,--,--,--,--,--,--,--,--,--,--,--
