BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hernández, KCF",4,2,2,0,0,0,0,.180,.536
Devers3B,4,0,1,0,0,1,2,.322,.883
MartinezDH,4,1,2,1,0,1,1,.321,.911
BogaertsSS,2,1,1,2,1,0,0,.346,.880
VerdugoLF,4,0,0,1,0,1,3,.205,.566
Story2B,3,1,1,1,1,0,2,.200,.595
Cordero1B,4,1,1,0,0,1,1,.235,.665
Dalbec1B,0,0,0,0,0,0,0,.165,.491
VázquezC,3,0,0,0,0,1,1,.221,.570
Bradley Jr.RF,3,0,0,0,0,1,1,.196,.536
,31,6,8,5,2,6,11,,
