PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Montgomery(W, 4-3)",5.0,2,0,0,1,1,0,3.53
"Hicks, J(H, 3)",1.1,0,0,0,1,3,0,4.78
"Cabrera, G(H, 12)",1.2,0,0,0,1,0,0,2.75
"Gallegos(S, 11)",1.0,0,0,0,0,2,0,3.27
,9.0,2,0,0,3,6,0,
