PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Suárez, R(W, 4-1)",7.0,5,3,3,1,6,1,3.72
Domínguez,1.0,0,0,0,2,1,0,2.63
Brogdon,1.0,0,0,0,1,3,0,4.50
,9.0,5,3,3,4,10,1,
