BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hoskins1B,4,2,3,1,0,1,0,.236,.767
Bohm3B,4,1,1,0,0,0,1,.311,.787
HarperDH,4,2,3,3,0,0,0,.305,.995
"Castellanos, NRF",4,1,1,0,0,0,2,.288,.828
Segura2B,4,1,1,3,0,1,2,.305,.870
RealmutoC,4,0,0,0,0,1,1,.243,.658
SchwarberLF,4,1,1,1,0,2,0,.192,.735
CamargoSS,4,0,0,0,0,0,0,.235,.649
QuinnCF,4,0,0,0,0,1,0,.158,.358
,36,8,10,8,0,6,6,,
