PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"McClanahan(L, 12-8)",5.0,5,2,2,1,2,0,2.54
Cleavinger,1.0,0,0,0,0,0,0,4.09
Chargois,2.0,1,0,0,0,3,0,2.53
,8.0,6,2,2,1,5,0,
