BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PeraltaLF,4,0,2,0,0,2,0,.250,.726
ArozarenaRF,2,1,0,0,2,0,2,.266,.781
FrancoDH,3,0,0,0,1,1,2,.272,.720
Choi1B,4,0,1,0,0,2,3,.224,.699
Aranda3B,3,0,0,0,0,2,1,.217,.670
"a-Díaz, YPH",1,0,1,1,0,0,0,.297,.828
WallsSS,2,0,0,0,1,2,1,.173,.553
"b-Ramírez, HPH",1,0,0,0,0,0,2,.309,.767
Mastrobuoni2B,3,0,0,0,0,2,0,.231,.462
"Mejía, FC",3,0,0,0,0,0,0,.245,.652
SiriCF,3,0,0,0,0,1,0,.214,.612
,29,1,4,1,4,12,11,,
