PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Javier(W, 11-9)",6.0,2,0,0,2,7,0,2.54
"Brown, H(H, 2)",1.0,1,0,0,0,2,0,1.00
"Montero(H, 22)",1.0,0,0,0,0,1,0,2.43
"Pressly(S, 32)",1.0,1,1,1,2,2,0,3.04
,9.0,4,1,1,4,12,0,
