Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,328,0,0.0,.309,
2017,R,628,4,0.6,.331,.219
2018,R,705,11,1.6,.348,.445
2019,R,725,12,1.7,.338,.408
2020,R,265,2,0.8,.324,1.060
2021,R,719,1,0.1,.307,.000
2022,R,550,0,0.0,.294,
