Season,Team,Pos,PA,Depth (ft.),Angle
2016,KC,5,134,114,-35
2016,KC,9,129,294,26
2016,KC,3,48,109,38
2016,KC,4,2119,152,15
2016,KC,7,386,295,-28
2017,KC,3,10,120,35
2017,KC,9,304,290,27
2017,KC,5,3,117,-33
2017,KC,7,195,299,-28
2017,KC,4,4898,152,13
2018,KC,9,279,290,27
2018,KC,3,183,112,36
2018,KC,8,1049,319,0
2018,KC,4,4087,150,13
2018,KC,7,38,296,-27
2019,KC,7,164,296,-28
2019,KC,9,2035,299,27
2019,KC,3,138,111,35
2019,KC,8,600,328,0
2019,KC,4,2898,151,14
2020,KC,7,107,298,-27
2020,KC,8,683,325,-1
2020,KC,4,411,154,13
2020,KC,9,977,292,27
2020,KC,3,17,112,34
2021,KC,7,82,297,-27
2021,KC,4,5403,156,12
2021,KC,9,427,295,27
2022,KC,4,2072,154,12
2022,KC,8,245,325,1
2022,KC,9,1109,295,26
2022,TOR,4,664,156,15
2022,TOR,8,305,321,-2
2022,TOR,9,143,291,25
2022,TOR,3,36,117,34
2022,TOR,7,122,290,-27
