 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2016,,347,18.5,22.8%,3.5%,226,25.2,1.3%,23.5%
2017,,721,16.3,31.1%,0.8%,321,24.2,0.6%,15.3%
2018,,851,16.4,33.1%,1.1%,419,24.3,0.2%,14.1%
2019,,870,17.1,25.3%,2.8%,387,25.5,0.3%,18.9%
2020,,311,17.4,30.2%,1.6%,135,25.0,0.0%,21.5%
2021,,741,17.3,26.9%,1.6%,415,25.5,0.2%,23.9%
2022,,553,17.3,27.8%,1.3%,329,23.5,0.3%,13.4%
